
============GCS to UAV: Control Commands===========
============= UAV to GCS: Telemetry Packets==============
 Publish MSG : @@@U_000***9***1626069817.49***TELEMETRY#last_heartbeat|0.6264994#***      25271***     25287*** 


============= UAV to GCS: Telemetry Packets==============
 Publish MSG : @@@U_001***9***1626069817.5***TELEMETRY#last_heartbeat|0.6255298#***      25277***     25289*** 


============= UAV to GCS: Telemetry Packets==============
 Publish MSG : @@@U_002***9***1626069817.54***TELEMETRY#last_heartbeat|0.6793603#***      25313***     25328*** 


============= UAV to GCS: Telemetry Packets==============
 Publish MSG : @@@U_000***10***1626069818.51***TELEMETRY#last_heartbeat|0.607974799999#***      26253***     26273*** 


============= UAV to GCS: Telemetry Packets==============
 Publish MSG : @@@U_001***10***1626069818.52***TELEMETRY#last_heartbeat|0.6060278#***      26254***     26274*** 


============= UAV to GCS: Telemetry Packets==============
 Publish MSG : @@@U_002***10***1626069818.57***TELEMETRY#last_heartbeat|0.6664558#***      26287***     26307*** 


============= UAV to GCS: Telemetry Packets==============
 Publish MSG : @@@U_000***11***1626069819.51***TELEMETRY#last_heartbeat|0.6003134#***      27211***     27230*** 


============= UAV to GCS: Telemetry Packets==============
 Publish MSG : @@@U_001***11***1626069819.52***TELEMETRY#last_heartbeat|0.5987532#***      27217***     27236*** 


============= UAV to GCS: Telemetry Packets==============
 Publish MSG : @@@U_002***11***1626069819.57***TELEMETRY#last_heartbeat|0.6507879#***      27258***     27277*** 


============= UAV to GCS: Telemetry Packets==============
 Publish MSG : @@@U_000***12***1626069820.56***TELEMETRY#last_heartbeat|0.6452588#***      28227***     28247*** 


============= UAV to GCS: Telemetry Packets==============
 Publish MSG : @@@U_001***12***1626069820.56***TELEMETRY#last_heartbeat|0.6428722#***      28230***     28249*** 


============= UAV to GCS: Telemetry Packets==============
 Publish MSG : @@@U_002***12***1626069820.62***TELEMETRY#last_heartbeat|0.6946075#***      28275***     28288*** 


============= UAV to GCS: Telemetry Packets==============
 Publish MSG : @@@U_000***13***1626069821.59***TELEMETRY#last_heartbeat|0.6863275#***      29208***     29228*** 


============= UAV to GCS: Telemetry Packets==============
 Publish MSG : @@@U_001***13***1626069821.59***TELEMETRY#last_heartbeat|0.6853382#***      29209***     29229*** 


============= UAV to GCS: Telemetry Packets==============
 Publish MSG : @@@U_002***13***1626069821.65***TELEMETRY#last_heartbeat|0.737725399999#***      29254***     29273*** 

 TELEMETRY Recvd: @@@U_000***1***1626069810.28***TELEMETRY#last_heartbeat|0.149824#*** 

 TELEMETRY Recvd: @@@U_002***1***1626069810.28***TELEMETRY#last_heartbeat|0.149332700001#*** 

 TELEMETRY Recvd: @@@U_001***1***1626069810.28***TELEMETRY#last_heartbeat|0.1492005#*** 

 TELEMETRY Recvd: @@@U_000***2***1626069811.3***TELEMETRY#last_heartbeat|0.1952038#*** 

 TELEMETRY Recvd: @@@U_002***2***1626069811.3***TELEMETRY#last_heartbeat|0.1953134#*** 

 TELEMETRY Recvd: @@@U_001***2***1626069811.31***TELEMETRY#last_heartbeat|0.1951672#*** 

 TELEMETRY Recvd: @@@U_000***3***1626069812.26***STATUS#CONNECT|True*** 

 TELEMETRY Recvd: @@@U_002***3***1626069812.26***STATUS#CONNECT|True*** 

 TELEMETRY Recvd: @@@U_001***3***1626069812.27***STATUS#CONNECT|True*** 

 TELEMETRY Recvd: @@@U_000***4***1626069812.32***TELEMETRY#last_heartbeat|0.2462858#*** 

 TELEMETRY Recvd: @@@U_001***4***1626069812.32***TELEMETRY#last_heartbeat|0.24732#*** 

 TELEMETRY Recvd: @@@U_002***4***1626069812.32***TELEMETRY#last_heartbeat|0.2486655#*** 

 TELEMETRY Recvd: @@@U_000***5***1626069813.34***TELEMETRY#last_heartbeat|0.294024#*** 

 TELEMETRY Recvd: @@@U_002***5***1626069813.34***TELEMETRY#last_heartbeat|0.2942135#*** 

 TELEMETRY Recvd: @@@U_001***5***1626069813.34***TELEMETRY#last_heartbeat|0.2950748#*** 

 TELEMETRY Recvd: @@@U_000***6***1626069814.37***TELEMETRY#last_heartbeat|0.3471623#*** 

 TELEMETRY Recvd: @@@U_002***6***1626069814.38***TELEMETRY#last_heartbeat|0.3476507#*** 

 TELEMETRY Recvd: @@@U_001***6***1626069814.38***TELEMETRY#last_heartbeat|0.3464714#*** 

 TELEMETRY Recvd: @@@U_000***7***1626069815.42***TELEMETRY#last_heartbeat|1.3901205#*** 

 TELEMETRY Recvd: @@@U_002***7***1626069815.42***TELEMETRY#last_heartbeat|1.3900681#*** 

 TELEMETRY Recvd: @@@U_001***7***1626069815.42***TELEMETRY#last_heartbeat|1.3903332#*** 

 TELEMETRY Recvd: @@@U_000***8***1626069816.48***TELEMETRY#last_heartbeat|2.4522427#*** 

 TELEMETRY Recvd: @@@U_002***8***1626069816.5***TELEMETRY#last_heartbeat|2.4638548#*** 

 TELEMETRY Recvd: @@@U_001***8***1626069816.5***TELEMETRY#last_heartbeat|2.4638134#*** 

 TELEMETRY Recvd: @@@U_000***9***1626069817.49***TELEMETRY#last_heartbeat|0.6264994#*** 

 TELEMETRY Recvd: @@@U_001***9***1626069817.5***TELEMETRY#last_heartbeat|0.6255298#*** 

 TELEMETRY Recvd: @@@U_002***9***1626069817.54***TELEMETRY#last_heartbeat|0.6793603#*** 

 TELEMETRY Recvd: @@@U_000***10***1626069818.51***TELEMETRY#last_heartbeat|0.607974799999#*** 

 TELEMETRY Recvd: @@@U_001***10***1626069818.52***TELEMETRY#last_heartbeat|0.6060278#*** 

 TELEMETRY Recvd: @@@U_002***10***1626069818.57***TELEMETRY#last_heartbeat|0.6664558#*** 

 TELEMETRY Recvd: @@@U_000***11***1626069819.51***TELEMETRY#last_heartbeat|0.6003134#*** 

 TELEMETRY Recvd: @@@U_001***11***1626069819.52***TELEMETRY#last_heartbeat|0.5987532#*** 

 TELEMETRY Recvd: @@@U_002***11***1626069819.57***TELEMETRY#last_heartbeat|0.6507879#*** 

 TELEMETRY Recvd: @@@U_000***12***1626069820.56***TELEMETRY#last_heartbeat|0.6452588#*** 

 TELEMETRY Recvd: @@@U_001***12***1626069820.56***TELEMETRY#last_heartbeat|0.6428722#*** 

 TELEMETRY Recvd: @@@U_002***12***1626069820.62***TELEMETRY#last_heartbeat|0.6946075#*** 

 TELEMETRY Recvd: @@@U_000***13***1626069821.59***TELEMETRY#last_heartbeat|0.6863275#*** 

 TELEMETRY Recvd: @@@U_001***13***1626069821.59***TELEMETRY#last_heartbeat|0.6853382#*** 

 TELEMETRY Recvd: @@@U_002***13***1626069821.65***TELEMETRY#last_heartbeat|0.737725399999#*** 

 TELEMETRY Recvd: @@@U_000***14***1626069822.62***TELEMETRY#location.global_relative_frame|LocationGlobalRelative:lat=-35.363261,lon=149.1652299,alt=0.0#last_heartbeat|0.7407775#battery|Battery:voltage=12.587,current=0.0,level=100#velocity|[-0.01, 0.0, 0.0]#attitude|Attitude:pitch=0.000990135478787,yaw=-0.120849266648,roll=0.000395281502279#airspeed|0.0#groundspeed|0.0heading|353#*** 

 TELEMETRY Recvd: @@@U_001***14***1626069822.62***TELEMETRY#location.global_relative_frame|LocationGlobalRelative:lat=-35.363261,lon=149.1652299,alt=0.0#last_heartbeat|0.740435#battery|Battery:voltage=12.587,current=0.0,level=1
============= UAV to GCS: Telemetry Packets==============
 Publish MSG : @@@U_000***14***1626069822.62***TELEMETRY#location.global_relative_frame|LocationGlobalRelative:lat=-35.363261,lon=149.1652299,alt=0.0#last_heartbeat|0.7407775#battery|Battery:voltage=12.587,current=0.0,level=100#velocity|[-0.01, 0.0, 0.0]#attitude|Attitude:pitch=0.000990135478787,yaw=-0.120849266648,roll=0.000395281502279#airspeed|0.0#groundspeed|0.0heading|353#***      30155***     30167*** 


============= UAV to GCS: Telemetry Packets==============
 Publish MSG : @@@U_001***14***1626069822.62***TELEMETRY#location.global_relative_frame|LocationGlobalRelative:lat=-35.363261,lon=149.1652299,alt=0.0#last_heartbeat|0.740435#battery|Battery:voltage=12.587,current=0.0,level=100#velocity|[-0.01, 0.0, 0.0]#attitude|Attitude:pitch=0.00092896213755,yaw=-0.120927035809,roll=0.000359681085683#airspeed|0.0#groundspeed|0.0heading|353#***      30157***     30169*** 


============= UAV to GCS: Telemetry Packets==============
 Publish MSG : @@@U_002***14***1626069822.68***TELEMETRY#location.global_relative_frame|LocationGlobalRelative:lat=-35.363261,lon=149.1652299,alt=0.0#last_heartbeat|0.785298899999#battery|Battery:voltage=12.587,current=0.0,level=100#velocity|[0.0, 0.0, 0.0]#attitude|Attitude:pitch=0.000863083056174,yaw=-0.121012732387,roll=0.000321516155964#airspeed|0.0#groundspeed|0.0heading|353#***      30199***     30211*** 


============= UAV to GCS: Telemetry Packets==============
 Publish MSG : @@@U_000***15***1626069823.66***TELEMETRY#location.global_relative_frame|LocationGlobalRelative:lat=-35.363261,lon=149.1652299,alt=0.0#last_heartbeat|0.7968453#battery|Battery:voltage=12.587,current=0.0,level=100#velocity|[-0.01, 0.0, 0.0]#attitude|Attitude:pitch=0.000857099250425,yaw=-0.120697312057,roll=0.000250328448601#airspeed|0.0#groundspeed|0.0heading|353#***      31130***     31150*** 


============= UAV to GCS: Telemetry Packets==============
 Publish MSG : @@@U_001***15***1626069823.66***TELEMETRY#location.global_relative_frame|LocationGlobalRelative:lat=-35.363261,lon=149.1652299,alt=0.0#last_heartbeat|0.7978169#battery|Battery:voltage=12.587,current=0.0,level=100#velocity|[-0.01, 0.0, 0.0]#attitude|Attitude:pitch=0.000806369935162,yaw=-0.120782352984,roll=0.000226398697123#airspeed|0.0#groundspeed|0.0heading|353#***      31131***     31151*** 


============= UAV to GCS: Telemetry Packets==============
 Publish MSG : @@@U_002***15***1626069823.72***TELEMETRY#location.global_relative_frame|LocationGlobalRelative:lat=-35.363261,lon=149.1652299,alt=0.0#last_heartbeat|0.8433252#battery|Battery:voltage=12.587,current=0.0,level=100#velocity|[0.0, 0.0, 0.0]#attitude|Attitude:pitch=0.000751782383304,yaw=-0.120875641704,roll=0.000200938447961#airspeed|0.0#groundspeed|0.0heading|353#***      31175***     31194*** 


============= UAV to GCS: Telemetry Packets==============
 Publish MSG : @@@U_000***16***1626069824.66***TELEMETRY#location.global_relative_frame|LocationGlobalRelative:lat=-35.363261,lon=149.1652299,alt=0.0#last_heartbeat|0.7639362#battery|Battery:voltage=12.587,current=0.0,level=100#velocity|[-0.01, 0.0, 0.0]#attitude|Attitude:pitch=0.000744885357562,yaw=-0.120596528053,roll=0.000123279183754#airspeed|0.0#groundspeed|0.0heading|353#***      32033***     32048*** 


============= UAV to GCS: Telemetry Packets==============
 Publish MSG : @@@U_001***16***1626069824.67***TELEMETRY#location.global_relative_frame|LocationGlobalRelative:lat=-35.363261,lon=149.1652299,alt=0.0#last_heartbeat|0.76881#battery|Battery:voltage=12.587,current=0.0,level=100#velocity|[0.0, 0.0, 0.0]#attitude|Attitude:pitch=0.000704242964275,yaw=-0.120687112212,roll=0.000109923545097#airspeed|0.0#groundspeed|0.0heading|353#***      32035***     32049*** 


============= UAV to GCS: Telemetry Packets==============
 Publish MSG : @@@U_002***16***1626069824.73***TELEMETRY#location.global_relative_frame|LocationGlobalRelative:lat=-35.363261,lon=149.1652299,alt=0.0#last_heartbeat|0.8662629#battery|Battery:voltage=12.587,current=0.0,level=100#velocity|[0.0, 0.0, 0.0]#attitude|Attitude:pitch=0.000644409854431,yaw=-0.120771445334,roll=6.69123255648e-05#airspeed|0.0#groundspeed|0.0heading|353#***      32079***     32091*** 


============= UAV to GCS: Telemetry Packets==============
 Publish MSG : @@@U_000***17***1626069825.67***TELEMETRY#location.global_relative_frame|LocationGlobalRelative:lat=-35.363261,lon=149.1652299,alt=0.0#last_heartbeat|0.8085087#battery|Battery:voltage=12.587,current=0.0,level=100#velocity|[0.0, 0.0, 0.0]#attitude|Attitude:pitch=0.000666299369186,yaw=-0.120537012815,roll=3.51238086296e-05#airspeed|0.0#groundspeed|0.0heading|353#***      32983***     33002*** 


============= UAV to GCS: Telemetry Packets==============
 Publish MSG : @@@U_001***17***1626069825.67***TELEMETRY#location.global_relative_frame|LocationGlobalRelative:lat=-35.363261,lon=149.1652299,alt=0.0#last_heartbeat|0.7581222#battery|Battery:voltage=12.587,current=0.0,level=100#velocity|[0.0, 0.0, 0.0]#attitude|Attitude:pitch=0.000634245458059,yaw=-0.120632119477,roll=3.04650948237e-05#airspeed|0.0#groundspeed|0.0heading|353#***      32987***     33006*** 


============= UAV to GCS: Telemetry Packets==============
 Publish MSG : @@@U_002***17***1626069825.76***TELEMETRY#location.global_relative_frame|LocationGlobalRelative:lat=-35.363261,lon=149.1652299,alt=0.0#last_heartbeat|0.906921#battery|Battery:voltage=12.587,current=0.0,level=100#velocity|[0.0, 0.0, 0.0]#attitude|Attitude:pitch=0.000579831423238,yaw=-0.120728842914,roll=1.61936295626e-05#airspeed|0.0#groundspeed|0.0heading|353#***      33061***     33080*** 

00#velocity|[-0.01, 0.0, 0.0]#attitude|Attitude:pitch=0.00092896213755,yaw=-0.120927035809,roll=0.000359681085683#airspeed|0.0#groundspeed|0.0heading|353#*** 

 TELEMETRY Recvd: @@@U_002***14***1626069822.68***TELEMETRY#location.global_relative_frame|LocationGlobalRelative:lat=-35.363261,lon=149.1652299,alt=0.0#last_heartbeat|0.785298899999#battery|Battery:voltage=12.587,current=0.0,level=100#velocity|[0.0, 0.0, 0.0]#attitude|Attitude:pitch=0.000863083056174,yaw=-0.121012732387,roll=0.000321516155964#airspeed|0.0#groundspeed|0.0heading|353#*** 

 TELEMETRY Recvd: @@@U_000***15***1626069823.66***TELEMETRY#location.global_relative_frame|LocationGlobalRelative:lat=-35.363261,lon=149.1652299,alt=0.0#last_heartbeat|0.7968453#battery|Battery:voltage=12.587,current=0.0,level=100#velocity|[-0.01, 0.0, 0.0]#attitude|Attitude:pitch=0.000857099250425,yaw=-0.120697312057,roll=0.000250328448601#airspeed|0.0#groundspeed|0.0heading|353#*** 

 TELEMETRY Recvd: @@@U_001***15***1626069823.66***TELEMETRY#location.global_relative_frame|LocationGlobalRelative:lat=-35.363261,lon=149.1652299,alt=0.0#last_heartbeat|0.7978169#battery|Battery:voltage=12.587,current=0.0,level=100#velocity|[-0.01, 0.0, 0.0]#attitude|Attitude:pitch=0.000806369935162,yaw=-0.120782352984,roll=0.000226398697123#airspeed|0.0#groundspeed|0.0heading|353#*** 

 TELEMETRY Recvd: @@@U_002***15***1626069823.72***TELEMETRY#location.global_relative_frame|LocationGlobalRelative:lat=-35.363261,lon=149.1652299,alt=0.0#last_heartbeat|0.8433252#battery|Battery:voltage=12.587,current=0.0,level=100#velocity|[0.0, 0.0, 0.0]#attitude|Attitude:pitch=0.000751782383304,yaw=-0.120875641704,roll=0.000200938447961#airspeed|0.0#groundspeed|0.0heading|353#*** 

 TELEMETRY Recvd: @@@U_000***16***1626069824.66***TELEMETRY#location.global_relative_frame|LocationGlobalRelative:lat=-35.363261,lon=149.1652299,alt=0.0#last_heartbeat|0.7639362#battery|Battery:voltage=12.587,current=0.0,level=100#velocity|[-0.01, 0.0, 0.0]#attitude|Attitude:pitch=0.000744885357562,yaw=-0.120596528053,roll=0.000123279183754#airspeed|0.0#groundspeed|0.0heading|353#*** 

 TELEMETRY Recvd: @@@U_001***16***1626069824.67***TELEMETRY#location.global_relative_frame|LocationGlobalRelative:lat=-35.363261,lon=149.1652299,alt=0.0#last_heartbeat|0.76881#battery|Battery:voltage=12.587,current=0.0,level=100#velocity|[0.0, 0.0, 0.0]#attitude|Attitude:pitch=0.000704242964275,yaw=-0.120687112212,roll=0.000109923545097#airspeed|0.0#groundspeed|0.0heading|353#*** 

 TELEMETRY Recvd: @@@U_002***16***1626069824.73***TELEMETRY#location.global_relative_frame|LocationGlobalRelative:lat=-35.363261,lon=149.1652299,alt=0.0#last_heartbeat|0.8662629#battery|Battery:voltage=12.587,current=0.0,level=100#velocity|[0.0, 0.0, 0.0]#attitude|Attitude:pitch=0.000644409854431,yaw=-0.120771445334,roll=6.69123255648e-05#airspeed|0.0#groundspeed|0.0heading|353#*** 

 TELEMETRY Recvd: @@@U_000***17***1626069825.67***TELEMETRY#location.global_relative_frame|LocationGlobalRelative:lat=-35.363261,lon=149.1652299,alt=0.0#last_heartbeat|0.8085087#battery|Battery:voltage=12.587,current=0.0,level=100#velocity|[0.0, 0.0, 0.0]#attitude|Attitude:pitch=0.000666299369186,yaw=-0.120537012815,roll=3.51238086296e-05#airspeed|0.0#groundspeed|0.0heading|353#*** 

 TELEMETRY Recvd: @@@U_001***17***1626069825.67***TELEMETRY#location.global_relative_frame|LocationGlobalRelative:lat=-35.363261,lon=149.1652299,alt=0.0#last_heartbeat|0.7581222#battery|Battery:voltage=12.587,current=0.0,level=100#velocity|[0.0, 0.0, 0.0]#attitude|Attitude:pitch=0.000634245458059,yaw=-0.120632119477,roll=3.04650948237e-05#airspeed|0.0#groundspeed|0.0heading|353#*** 

 TELEMETRY Recvd: @@@U_002***17***1626069825.76***TELEMETRY#location.global_relative_frame|LocationGlobalRelative:lat=-35.363261,lon=149.1652299,alt=0.0#last_heartbeat|0.906921#battery|Battery:voltage=12.587,current=0.0,level=100#velocity|[0.0, 0.0, 0.0]#attitude|Attitude:pitch=0.000579831423238,yaw=-0.120728842914,roll=1.61936295626e-05#airspeed|0.0#groundspeed|0.0heading|353#*** 

 TELEMETRY Recvd: @@@U_000***18***1626069826.69***TELEMETR
============= UAV to GCS: Telemetry Packets==============
 Publish MSG : @@@U_000***18***1626069826.69***TELEMETRY#location.global_relative_frame|LocationGlobalRelative:lat=-35.363261,lon=149.1652299,alt=0.0#last_heartbeat|0.763306100001#battery|Battery:voltage=12.587,current=0.0,level=100#velocity|[0.0, 0.0, 0.0]#attitude|Attitude:pitch=0.000609068374615,yaw=-0.120496690273,roll=-1.45625062942e-05#airspeed|0.0#groundspeed|0.0heading|353#***      33941***     33961*** 


============= UAV to GCS: Telemetry Packets==============
 Publish MSG : @@@U_001***18***1626069826.69***TELEMETRY#location.global_relative_frame|LocationGlobalRelative:lat=-35.363261,lon=149.1652299,alt=0.0#last_heartbeat|0.8115246#battery|Battery:voltage=12.587,current=0.0,level=100#velocity|[0.0, 0.0, 0.0]#attitude|Attitude:pitch=0.000584053341299,yaw=-0.12059418112,roll=-1.29250101963e-05#airspeed|0.0#groundspeed|0.0heading|353#***      33943***     33962*** 


============= UAV to GCS: Telemetry Packets==============
 Publish MSG : @@@U_002***18***1626069826.78***TELEMETRY#location.global_relative_frame|LocationGlobalRelative:lat=-35.363261,lon=149.1652299,alt=0.0#last_heartbeat|0.9144661#battery|Battery:voltage=12.587,current=0.0,level=100#velocity|[0.0, 0.0, 0.0]#attitude|Attitude:pitch=0.000544599606656,yaw=-0.120694808662,roll=-6.6222901296e-06#airspeed|0.0#groundspeed|0.0heading|353#***      34017***     34036*** 


============= UAV to GCS: Telemetry Packets==============
 Publish MSG : @@@U_000***19***1626069827.69***TELEMETRY#location.global_relative_frame|LocationGlobalRelative:lat=-35.363261,lon=149.1652299,alt=0.0#location.global_frame|LocationGlobal:lat=-35.363261,lon=149.1652299,alt=583.99#last_heartbeat|0.8045034#battery|Battery:voltage=12.587,current=0.0,level=100#velocity|[0.0, -0.1, 0.0]#attitude|Attitude:pitch=-0.00103569682688,yaw=-0.140792176127,roll=-0.00547435879707#airspeed|0.0#groundspeed|0.0heading|351#***      34913***     34927*** 


============= UAV to GCS: Telemetry Packets==============
 Publish MSG : @@@U_001***19***1626069827.7***TELEMETRY#location.global_relative_frame|LocationGlobalRelative:lat=-35.363261,lon=149.1652299,alt=0.0#location.global_frame|LocationGlobal:lat=-35.363261,lon=149.1652299,alt=583.99#last_heartbeat|0.808101199999#battery|Battery:voltage=12.587,current=0.0,level=100#velocity|[0.01, -0.1, 0.0]#attitude|Attitude:pitch=-0.00105436879676,yaw=-0.140888482332,roll=-0.00546738179401#airspeed|0.0#groundspeed|0.0heading|351#***      34921***     34933*** 


============= UAV to GCS: Telemetry Packets==============
 Publish MSG : @@@U_002***19***1626069827.8***TELEMETRY#location.global_relative_frame|LocationGlobalRelative:lat=-35.363261,lon=149.1652299,alt=0.0#location.global_frame|LocationGlobal:lat=-35.363261,lon=149.1652299,alt=583.99#last_heartbeat|0.9151602#battery|Battery:voltage=12.587,current=0.0,level=100#velocity|[0.01, -0.1, 0.0]#attitude|Attitude:pitch=-0.00107494788244,yaw=-0.140991941094,roll=-0.00546016450971#airspeed|0.0#groundspeed|0.0heading|351#***      35005***     35017*** 


============= UAV to GCS: Telemetry Packets==============
 Publish MSG : @@@U_001***20***1626069828.71***TELEMETRY#location.global_relative_frame|LocationGlobalRelative:lat=-35.363261,lon=149.1652299,alt=0.0#location.global_frame|LocationGlobal:lat=-35.363261,lon=149.1652299,alt=583.99#last_heartbeat|0.8094741#battery|Battery:voltage=12.587,current=0.0,level=100#velocity|[0.02, -0.22, 0.0]#attitude|Attitude:pitch=-0.00278682634234,yaw=-0.176889628172,roll=-0.0107477288693#airspeed|0.0#groundspeed|0.0heading|349#***      35886***     35898*** 


============= UAV to GCS: Telemetry Packets==============
 Publish MSG : @@@U_000***20***1626069828.74***TELEMETRY#location.global_relative_frame|LocationGlobalRelative:lat=-35.363261,lon=149.1652299,alt=0.0#location.global_frame|LocationGlobal:lat=-35.363261,lon=149.1652299,alt=583.99#last_heartbeat|0.8502615#battery|Battery:voltage=12.587,current=0.0,level=100#velocity|[0.02, -0.22, 0.0]#attitude|Attitude:pitch=-0.00277188164182,yaw=-0.176796078682,roll=-0.0107570951805#airspeed|0.0#groundspeed|0.0heading|349#***      35913***     35927*** 


============= UAV to GCS: Telemetry Packets==============
 Publish MSG : @@@U_002***20***1626069828.8***TELEMETRY#location.global_relative_frame|LocationGlobalRelative:lat=-35.363261,lon=149.1652299,alt=0.0#location.global_frame|LocationGlobal:lat=-35.363261,lon=149.1652299,alt=583.99#last_heartbeat|0.862129#battery|Battery:voltage=12.587,current=0.0,level=100#velocity|[0.02, -0.22, 0.0]#attitude|Attitude:pitch=-0.0028034443967,yaw=-0.176990151405,roll=-0.0107376752421#airspeed|0.0#groundspeed|0.0heading|349#***      35965***     35977*** 

Y#location.global_relative_frame|LocationGlobalRelative:lat=-35.363261,lon=149.1652299,alt=0.0#last_heartbeat|0.763306100001#battery|Battery:voltage=12.587,current=0.0,level=100#velocity|[0.0, 0.0, 0.0]#attitude|Attitude:pitch=0.000609068374615,yaw=-0.120496690273,roll=-1.45625062942e-05#airspeed|0.0#groundspeed|0.0heading|353#*** 

 TELEMETRY Recvd: @@@U_001***18***1626069826.69***TELEMETRY#location.global_relative_frame|LocationGlobalRelative:lat=-35.363261,lon=149.1652299,alt=0.0#last_heartbeat|0.8115246#battery|Battery:voltage=12.587,current=0.0,level=100#velocity|[0.0, 0.0, 0.0]#attitude|Attitude:pitch=0.000584053341299,yaw=-0.12059418112,roll=-1.29250101963e-05#airspeed|0.0#groundspeed|0.0heading|353#*** 

