
============GCS to UAV: Control Commands===========
 Publish MSG : @@@U_004***4***1627597318.39***TELEMETRY#last_heartbeat|0.245141659048#***       6218***      6237*** 


============= UAV to GCS: Telemetry Packets==============
 Publish MSG : @@@U_003***4***1627597318.38***TELEMETRY#last_heartbeat|0.246504584909#***       6217***      6238*** 


============= UAV to GCS: Telemetry Packets==============
 Publish MSG : @@@U_002***5***1627597319.4***TELEMETRY#last_heartbeat|0.293939823052#***       6597***      6609*** 


============= UAV to GCS: Telemetry Packets==============
 Publish MSG : @@@U_001***5***1627597319.4***TELEMETRY#last_heartbeat|0.294651358039#***       6599***      6611*** 


============= UAV to GCS: Telemetry Packets==============
 Publish MSG : @@@U_000***5***1627597319.41***TELEMETRY#last_heartbeat|0.294617646956#***       6600***      6613*** 


============= UAV to GCS: Telemetry Packets==============
 Publish MSG : @@@U_003***5***1627597319.4***TELEMETRY#last_heartbeat|0.293914256967#***       6600***      6613*** 


============= UAV to GCS: Telemetry Packets==============
 Publish MSG : @@@U_004***5***1627597319.41***TELEMETRY#last_heartbeat|0.294868186#***       6602***      6614*** 


============= UAV to GCS: Telemetry Packets==============
 Publish MSG : @@@U_002***6***1627597320.43***TELEMETRY#last_heartbeat|0.347013216#***       6993***      7007*** 


============= UAV to GCS: Telemetry Packets==============
 Publish MSG : @@@U_001***6***1627597320.44***TELEMETRY#last_heartbeat|0.347785313963#***       6996***      7009*** 


============= UAV to GCS: Telemetry Packets==============
 Publish MSG : @@@U_003***6***1627597320.44***TELEMETRY#last_heartbeat|0.347007960081#***       6996***      7010*** 


============= UAV to GCS: Telemetry Packets==============
 Publish MSG : @@@U_000***6***1627597320.44***TELEMETRY#last_heartbeat|0.347674501012#***       6998***      7011*** 


============= UAV to GCS: Telemetry Packets==============
 Publish MSG : @@@U_004***6***1627597320.45***TELEMETRY#last_heartbeat|0.347650939948#***       7000***      7012*** 


============= UAV to GCS: Telemetry Packets==============
 Publish MSG : @@@U_002***7***1627597321.47***TELEMETRY#last_heartbeat|1.38926603796#***       7390***      7408*** 


============= UAV to GCS: Telemetry Packets==============
 Publish MSG : @@@U_001***7***1627597321.48***TELEMETRY#last_heartbeat|1.39265581395#***       7394***      7410*** 


============= UAV to GCS: Telemetry Packets==============
 Publish MSG : @@@U_003***7***1627597321.48***TELEMETRY#last_heartbeat|1.38976155105#***       7394***      7411*** 


============= UAV to GCS: Telemetry Packets==============
 Publish MSG : @@@U_000***7***1627597321.49***TELEMETRY#last_heartbeat|1.39127658203#***       7396***      7412*** 


============= UAV to GCS: Telemetry Packets==============
 Publish MSG : @@@U_004***7***1627597321.49***TELEMETRY#last_heartbeat|1.39139461296#***       7398***      7412*** 


============= UAV to GCS: Telemetry Packets==============
 Publish MSG : @@@U_002***8***1627597322.52***TELEMETRY#last_heartbeat|2.43566929898#***       7776***      7795*** 


============= UAV to GCS: Telemetry Packets==============
 Publish MSG : @@@U_004***8***1627597322.55***TELEMETRY#last_heartbeat|2.44948967698#***       7784***      7805*** 


============= UAV to GCS: Telemetry Packets==============
 Publish MSG : @@@U_001***8***1627597322.55***TELEMETRY#last_heartbeat|2.46285877202#***       7785***      7806*** 


============= UAV to GCS: Telemetry Packets==============
 Publish MSG : @@@U_003***8***1627597322.55***TELEMETRY#last_heartbeat|2.46164684708#***       7785***      7806*** 


============= UAV to GCS: Telemetry Packets==============
 Publish MSG : @@@U_000***8***1627597322.56***TELEMETRY#last_heartbeat|2.45918534196#***       7786***      7807*** 


============= UAV to GCS: Telemetry Packets==============
 Publish MSG : @@@U_002***9***1627597323.56***TELEMETRY#last_heartbeat|0.628598552081#***       8147***      8168*** 


============= UAV to GCS: Telemetry Packets==============
 Publish MSG : @@@U_000***9***1627597323.57***TELEMETRY#last_heartbeat|0.627860930981#***       8148***      8169*** 


============= UAV to GCS: Telemetry Packets==============
 Publish MSG : @@@U_003***9***1627597323.56***TELEMETRY#last_heartbeat|0.625434578978#***       8148***      8169*** 


============= UAV to GCS: Telemetry Packets==============
 Publish MSG : @@@U_001***9***1627597323.57***TELEMETRY#last_heartbeat|0.63174468698#***       8149***      8170*** 


============= UAV to GCS: Telemetry Packets==============
 Publish MSG : @@@U_004***9***1627597323.57***TELEMETRY#last_heartbeat|0.627222506097#***       8150***      8170*** 


============= UAV to GCS: Telemetry Packets==============
 Publish MSG : @@@U_002***10***1627597324.57***TELEMETRY#last_heartbeat|0.604081497993#***       8522***      8534*** 


============= UAV to GCS: Telemetry Packets==============
 Publish MSG : @@@U_003***10***1627597324.58***TELEMETRY#last_heartbeat|0.606250097975#***       8524***      8536*** 


============= UAV to GCS: Telemetry Packets==============
 Publish MSG : @@@U_004***10***1627597324.59***TELEMETRY#last_heartbeat|0.60674966604#***       8527***      8541*** 


============= UAV to GCS: Telemetry Packets==============
 Publish MSG : @@@U_000***10***1627597324.59***TELEMETRY#last_heartbeat|0.609344039927#***       8527***      8546*** 


============= UAV to GCS: Telemetry Packets==============
 Publish MSG : @@@U_001***10***1627597324.59***TELEMETRY#last_heartbeat|0.608198490925#***       8526***      8546*** 


============GCS to UAV: Control Commands===========
 Publish MSG : @@@G_001***7***1627597325.262761***COMMAND:ARM***       8779***      8782*** 

>>>>>> Average Network Delay for command packets: 6.000000 MilliSec.

LteSignalStrength= 0.004963 dBm*** LteSINR= 10462593950118.492188 dBm 


============GCS to UAV: Control Commands===========
 Publish MSG : @@@G_000***6***1627597325.262515***COMMAND:ARM***       8779***      8783*** 

============GCS to UAV: Control Commands===========
 Publish MSG : @@@G_002***8***1627597325.262928***COMMAND:ARM***       8856***      8859*** 

============GCS to UAV: Control Commands===========
 Publish MSG : @@@G_003***9***1627597325.480497***COMMAND:ARM***       8862***      8865*** 

============GCS to UAV: Control Commands===========
 Publish MSG : @@@G_004***10***1627597325.496742***COMMAND:ARM***       8865***      8869*** 

WifiSignalStrength= -73.783019 dBm*** WifiNoise= -93.965985 dBm 

============GCS to UAV: Control Commands===========
 Publish MSG : @@@G_000***11***1627597325.569908***COMMAND:HEARTBEAT_MESSAGE***       8888***      8891*** 

============GCS to UAV: Control Commands===========
 Publish MSG : @@@G_001***12***1627597325.870182***COMMAND:HEARTBEAT_MESSAGE***       9054***      9057*** 

============GCS to UAV: Control Commands===========
 Publish MSG : @@@G_002***13***1627597326.009122***COMMAND:HEARTBEAT_MESSAGE***       9085***      9088*** 

============GCS to UAV: Control Commands===========
 Publish MSG : @@@G_003***14***1627597326.18911***COMMAND:HEARTBEAT_MESSAGE***       9114***      9117*** 

============GCS to UAV: Control Commands===========
 Publish MSG : @@@G_004***15***1627597326.252589***COMMAND:HEARTBEAT_MESSAGE***       9129***      9132*** 

============GCS to UAV: Control Commands===========
 Publish MSG : @@@G_000***16***1627597327.041604***COMMAND:HEARTBEAT_MESSAGE***       9422***      9425*** 

============GCS to UAV: Control Commands===========
 Publish MSG : @@@G_001***17***1627597327.134702***COMMAND:HEARTBEAT_MESSAGE***       9426***      9429*** 

============GCS to UAV: Control Commands===========
 Publish MSG : @@@G_002***18***1627597327.135868***COMMAND:HEARTBEAT_MESSAGE***       9448***      9451*** 

============GCS to UAV: Control Commands===========
 Publish MSG : @@@G_003***19***1627597327.293082***COMMAND:HEARTBEAT_MESSAGE***       9494***      9497*** 

============GCS to UAV: Control Commands===========
 Publish MSG : @@@G_004***20***1627597327.347424***COMMAND:HEARTBEAT_MESSAGE***       9498***      9501*** 

============GCS to UAV: Control Commands===========
 Publish MSG : @@@G_000***21***1627597327.879937***COMMAND:HEARTBEAT_MESSAGE***       9688***      9691*** 

============GCS to UAV: Control Commands===========
 Publish MSG : @@@G_001***22***1627597327.957815***COMMAND:HEARTBEAT_MESSAGE***       9773***      9776*** 

============GCS to UAV: Control Commands===========
 Publish MSG : @@@G_002***23***1627597328.157107***COMMAND:HEARTBEAT_MESSAGE***       9801***      9804*** 

>>>>>> Average Network Delay for command packets: 4.117647 MilliSec.

LteSignalStrength= 0.004815 dBm*** LteSINR= 10151688496019.273438 dBm 


WifiSignalStrength= -73.783019 dBm*** WifiNoise= -93.965985 dBm 

============GCS to UAV: Control Commands===========
 Publish MSG : @@@G_003***24***1627597328.221095***COMMAND:HEARTBEAT_MESSAGE***       9854***      9857*** 

============GCS to UAV: Control Commands===========
 Publish MSG : @@@G_004***25***1627597328.576653***COMMAND:HEARTBEAT_MESSAGE***       9944***      9947*** 

============GCS to UAV: Control Commands===========
 Publish MSG : @@@G_000***26***1627597329.183772***COMMAND:HEARTBEAT_MESSAGE***      10170***     10173*** 

============GCS to UAV: Control Commands===========
 Publish MSG : @@@G_001***27***1627597329.258462***COMMAND:HEARTBEAT_MESSAGE***      10185***     10188*** 

============GCS to UAV: Control Commands===========
 Publish MSG : @@@G_002***28***1627597329.319161***COMMAND:HEARTBEAT_MESSAGE***      10195***     10198*** 

============GCS to UAV: Control Commands===========
 Publish MSG : @@@G_003***29***1627597329.348286***COMMAND:HEARTBEAT_MESSAGE***      10230***     10233*** 

============GCS to UAV: Control Commands===========
 Publish MSG : @@@G_004***30***1627597329.565272***COMMAND:HEARTBEAT_MESSAGE***      10291***     10294*** 

============GCS to UAV: Control Commands===========
 Publish MSG : @@@G_000***31***1627597330.117239***COMMAND:HEARTBEAT_MESSAGE***      10474***     10477*** 

============GCS to UAV: Control Commands===========
 Publish MSG : @@@G_001***32***1627597330.125832***COMMAND:HEARTBEAT_MESSAGE***      10506***     10510*** 

============GCS to UAV: Control Commands===========
 Publish MSG : @@@G_002***33***1627597330.209099***COMMAND:HEARTBEAT_MESSAGE***      10513***     10516*** 

============GCS to UAV: Control Commands===========
 Publish MSG : @@@G_003***34***1627597330.31441***COMMAND:HEARTBEAT_MESSAGE***      10566***     10569*** 

============GCS to UAV: Control Commands===========
 Publish MSG : @@@G_004***35***1627597330.589092***COMMAND:HEARTBEAT_MESSAGE***      10638***     10641*** 

============GCS to UAV: Control Commands===========
 Publish MSG : @@@G_000***36***1627597331.164934***COMMAND:HEARTBEAT_MESSAGE***      10859***     10862*** 

>>>>>> Average Network Delay for command packets: 4.076923 MilliSec.

LteSignalStrength= 0.004455 dBm*** LteSINR= 9392041311224.716797 dBm 


============GCS to UAV: Control Commands===========
 Publish MSG : @@@G_001***37***1627597331.261445***COMMAND:HEARTBEAT_MESSAGE***      10887***     10890*** 

============GCS to UAV: Control Commands===========
 Publish MSG : @@@G_002***38***1627597331.262318***COMMAND:HEARTBEAT_MESSAGE***      10887***     10891*** 

WifiSignalStrength= -73.783019 dBm*** WifiNoise= -93.965985 dBm 

============GCS to UAV: Control Commands===========
 Publish MSG : @@@G_003***39***1627597331.485137***COMMAND:HEARTBEAT_MESSAGE***      11092***     11095*** 

============GCS to UAV: Control Commands===========
 Publish MSG : @@@G_004***40***1627597331.826998***COMMAND:HEARTBEAT_MESSAGE***      11226***     11229*** 

============GCS to UAV: Control Commands===========
 Publish MSG : @@@G_000***41***1627597333.153073***COMMAND:HEARTBEAT_MESSAGE***      11623***     11626*** 

============GCS to UAV: Control Commands===========
 Publish MSG : @@@G_001***42***1627597333.411111***COMMAND:HEARTBEAT_MESSAGE***      11718***     11721*** 

============GCS to UAV: Control Commands===========
 Publish MSG : @@@G_002***43***1627597333.535969***COMMAND:HEARTBEAT_MESSAGE***      11753***     11756*** 

============GCS to UAV: Control Commands===========
 Publish MSG : @@@G_003***44***1627597333.600682***COMMAND:HEARTBEAT_MESSAGE***      11753***     11757*** 

============GCS to UAV: Control Commands===========
 Publish MSG : @@@G_004***45***1627597333.601318***COMMAND:HEARTBEAT_MESSAGE***      11763***     11766*** 

============GCS to UAV: Control Commands===========
 Publish MSG : @@@G_000***46***1627597334.185243***COMMAND:HEARTBEAT_MESSAGE***      12033***     12036*** 

>>>>>> Average Network Delay for command packets: 4.200000 MilliSec.

LteSignalStrength= 0.000616 dBm*** LteSINR= 1298776016781.703369 dBm 


WifiSignalStrength= -73.783019 dBm*** WifiNoise= -93.965985 dBm 

============GCS to UAV: Control Commands===========
 Publish MSG : @@@G_001***47***1627597334.559748***COMMAND:HEARTBEAT_MESSAGE***      12179***     12182*** 

============GCS to UAV: Control Commands===========
 Publish MSG : @@@G_002***48***1627597334.798003***COMMAND:HEARTBEAT_MESSAGE***      12184***     12187*** 

============GCS to UAV: Control Commands===========
 Publish MSG : @@@G_003***49***1627597334.803877***COMMAND:HEARTBEAT_MESSAGE***      12194***     12197*** 

============GCS to UAV: Control Commands===========
 Publish MSG : @@@G_004***50***1627597334.851934***COMMAND:HEARTBEAT_MESSAGE***      12268***     12271*** 

============GCS to UAV: Control Commands===========
 Publish MSG : @@@G_000***51***1627597335.614552***COMMAND:HEARTBEAT_MESSAGE***      12494***     12497*** 

============GCS to UAV: Control Commands===========
 Publish MSG : @@@G_001***52***1627597335.663265***COMMAND:HEARTBEAT_MESSAGE***      12530***     12533*** 

============GCS to UAV: Control Commands===========
 Publish MSG : @@@G_002***53***1627597335.762482***COMMAND:HEARTBEAT_MESSAGE***      12533***     12537*** 

============GCS to UAV: Control Commands===========
 Publish MSG : @@@G_003***54***1627597335.803664***COMMAND:HEARTBEAT_MESSAGE***      12566***     12569*** 

============GCS to UAV: Control Commands===========
 Publish MSG : @@@G_004***55***1627597335.961063***COMMAND:HEARTBEAT_MESSAGE***      12647***     12650*** 

============GCS to UAV: Control Commands===========
 Publish MSG : @@@G_000***56***1627597336.681403***COMMAND:HEARTBEAT_MESSAGE***      12972***     12975*** 

============GCS to UAV: Control Commands===========
 Publish MSG : @@@G_001***57***1627597336.997065***COMMAND:HEARTBEAT_MESSAGE***      12993***     12996*** 

============GCS to UAV: Control Commands===========
 Publish MSG : @@@G_002***58***1627597337.16521***COMMAND:HEARTBEAT_MESSAGE***      13062***     13065*** 

>>>>>> Average Network Delay for command packets: 4.083333 MilliSec.

LteSignalStrength= 0.001556 dBm*** LteSINR= 3279773007383.296875 dBm 


WifiSignalStrength= -73.783019 dBm*** WifiNoise= -93.965985 dBm 

============GCS to UAV: Control Commands===========
 Publish MSG : @@@G_003***59***1627597337.22477***COMMAND:HEARTBEAT_MESSAGE***      13095***     13098*** 

============GCS to UAV: Control Commands===========
 Publish MSG : @@@G_004***60***1627597337.51948***COMMAND:HEARTBEAT_MESSAGE***      13186***     13189*** 

============GCS to UAV: Control Commands===========
 Publish MSG : @@@G_000***61***1627597338.1132***COMMAND:HEARTBEAT_MESSAGE***      13429***     13432*** 

============GCS to UAV: Control Commands===========
 Publish MSG : @@@G_001***62***1627597338.218921***COMMAND:HEARTBEAT_MESSAGE***      13450***     13453*** 

============GCS to UAV: Control Commands===========
 Publish MSG : @@@G_002***63***1627597338.295991***COMMAND:HEARTBEAT_MESSAGE***      13566***     13569*** 

============GCS to UAV: Control Commands===========
 Publish MSG : @@@G_003***64***1627597338.605307***COMMAND:HEARTBEAT_MESSAGE***      13580***     13583*** 

============GCS to UAV: Control Commands===========
 Publish MSG : @@@G_004***65***1627597338.652126***COMMAND:HEARTBEAT_MESSAGE***      13599***     13602*** 

============GCS to UAV: Control Commands===========
 Publish MSG : @@@G_000***66***1627597339.273107***COMMAND:HEARTBEAT_MESSAGE***      13799***     13802*** 

============GCS to UAV: Control Commands===========
 Publish MSG : @@@G_001***67***1627597339.319789***COMMAND:HEARTBEAT_MESSAGE***      13842***     13845*** 

============GCS to UAV: Control Commands===========
 Publish MSG : @@@G_002***68***1627597339.481168***COMMAND:HEARTBEAT_MESSAGE***      13860***     13863*** 

============GCS to UAV: Control Commands===========
 Publish MSG : @@@G_003***69***1627597339.563626***COMMAND:HEARTBEAT_MESSAGE***      13940***     13943*** 

============GCS to UAV: Control Commands===========
 Publish MSG : @@@G_004***70***1627597339.772494***COMMAND:HEARTBEAT_MESSAGE***      13954***     13957*** 

============GCS to UAV: Control Commands===========
 Publish MSG : @@@G_000***71***1627597340.344449***COMMAND:HEARTBEAT_MESSAGE***      14187***     14190*** 

>>>>>> Average Network Delay for command packets: 4.000000 MilliSec.

LteSignalStrength= 0.006908 dBm*** LteSINR= 14562764515993.605469 dBm 


============GCS to UAV: Control Commands===========
 Publish MSG : @@@G_001***72***1627597340.459045***COMMAND:HEARTBEAT_MESSAGE***      14190***     14194*** 

WifiSignalStrength= -73.783019 dBm*** WifiNoise= -93.965985 dBm 

============GCS to UAV: Control Commands===========
 Publish MSG : @@@G_002***73***1627597340.529329***COMMAND:HEARTBEAT_MESSAGE***      14242***     14245*** 

============GCS to UAV: Control Commands===========
 Publish MSG : @@@G_003***74***1627597340.633075***COMMAND:HEARTBEAT_MESSAGE***      14245***     14248*** 

============GCS to UAV: Control Commands===========
 Publish MSG : @@@G_004***75***1627597340.637329***COMMAND:HEARTBEAT_MESSAGE***      14320***     14323*** 

============GCS to UAV: Control Commands===========
 Publish MSG : @@@G_000***76***1627597341.441597***COMMAND:HEARTBEAT_MESSAGE***      14552***     14555*** 

============GCS to UAV: Control Commands===========
 Publish MSG : @@@G_001***77***1627597341.458881***COMMAND:HEARTBEAT_MESSAGE***      14570***     14573*** 

============GCS to UAV: Control Commands===========
 Publish MSG : @@@G_002***78***1627597341.518285***COMMAND:HEARTBEAT_MESSAGE***      14576***     14579*** 

============GCS to UAV: Control Commands===========
 Publish MSG : @@@G_003***79***1627597341.633069***COMMAND:HEARTBEAT_MESSAGE***      14625***     14628*** 

============GCS to UAV: Control Commands===========
 Publish MSG : @@@G_004***80***1627597341.73741***COMMAND:HEARTBEAT_MESSAGE***      14655***     14658*** 

============GCS to UAV: Control Commands===========
 Publish MSG : @@@G_000***81***1627597342.284754***COMMAND:HEARTBEAT_MESSAGE***      14849***     14852*** 

============GCS to UAV: Control Commands===========
 Publish MSG : @@@G_001***82***1627597342.302455***COMMAND:HEARTBEAT_MESSAGE***      14856***     14859*** 

============GCS to UAV: Control Commands===========
 Publish MSG : @@@G_002***83***1627597342.337775***COMMAND:HEARTBEAT_MESSAGE***      14872***     14875*** 

============GCS to UAV: Control Commands===========
 Publish MSG : @@@G_003***84***1627597342.397765***COMMAND:HEARTBEAT_MESSAGE***      14892***     14895*** 

============GCS to UAV: Control Commands===========
 Publish MSG : @@@G_004***85***1627597342.490684***COMMAND:HEARTBEAT_MESSAGE***      14925***     14928*** 

============= UAV to GCS: Telemetry Packets==============
 Publish MSG : @@@U_002***11***1627597343.17***TELEMETRY#last_heartbeat|0.362328599091#battery|Battery:voltage=12.587,current=0.0,level=100#***      15164***     15176*** 


============GCS to UAV: Control Commands===========
 Publish MSG : @@@G_000***86***1627597343.168807***COMMAND:HEARTBEAT_MESSAGE***      15227***     15230*** 

>>>>>> Average Network Delay for command packets: 4.066667 MilliSec.

LteSignalStrength= 0.002912 dBm*** LteSINR= 6139879426458.480469 dBm 


WifiSignalStrength= -73.783019 dBm*** WifiNoise= -93.965985 dBm 

============GCS to UAV: Control Commands===========
 Publish MSG : @@@G_001***87***1627597343.337641***COMMAND:HEARTBEAT_MESSAGE***      15230***     15233*** 

============GCS to UAV: Control Commands===========
 Publish MSG : @@@G_002***88***1627597343.356987***COMMAND:HEARTBEAT_MESSAGE***      15242***     15245*** 

============GCS to UAV: Control Commands===========
 Publish MSG : @@@G_003***89***1627597343.419748***COMMAND:HEARTBEAT_MESSAGE***      15244***     15247*** 

============= UAV to GCS: Telemetry Packets==============
 Publish MSG : @@@U_001***11***1627597343.41***TELEMETRY#last_heartbeat|0.250422474928#battery|Battery:voltage=12.587,current=0.0,level=100#***      15242***     15254*** 


============GCS to UAV: Control Commands===========
 Publish MSG : @@@G_004***90***1627597343.420432***COMMAND:HEARTBEAT_MESSAGE***      15258***     15261*** 

============= UAV to GCS: Telemetry Packets==============
 Publish MSG : @@@U_003***11***1627597343.49***TELEMETRY#last_heartbeat|0.250161631964#battery|Battery:voltage=12.587,current=0.0,level=100#***      15266***     15285*** 


============GCS to UAV: Control Commands===========
 Publish MSG : @@@G_000***91***1627597343.981189***COMMAND:HEARTBEAT_MESSAGE***      15466***     15469*** 

============= UAV to GCS: Telemetry Packets==============
 Publish MSG : @@@U_004***11***1627597344.04***TELEMETRY#last_heartbeat|0.251666042954#battery|Battery:voltage=12.587,current=0.0,level=100#***      15463***     15480*** 


============GCS to UAV: Control Commands===========
 Publish MSG : @@@G_001***92***1627597344.052808***COMMAND:HEARTBEAT_MESSAGE***      15498***     15501*** 

============GCS to UAV: Control Commands===========
 Publish MSG : @@@G_002***93***1627597344.172507***COMMAND:HEARTBEAT_MESSAGE***      15501***     15505*** 

============GCS to UAV: Control Commands===========
 Publish MSG : @@@G_003***94***1627597344.325395***COMMAND:HEARTBEAT_MESSAGE***      15568***     15571*** 

============GCS to UAV: Control Commands===========
 Publish MSG : @@@G_004***95***1627597344.36709***COMMAND:HEARTBEAT_MESSAGE***      15571***     15576*** 

============= UAV to GCS: Telemetry Packets==============
 Publish MSG : @@@U_002***12***1627597344.38***TELEMETRY#location.global_relative_frame|LocationGlobalRelative:lat=-35.363261,lon=149.1652299,alt=0.0#velocity|[0.0, 0.0, 0.0]#attitude|Attitude:pitch=0.000745144323446,yaw=-0.121166020632,roll=0.000252985017141#airspeed|0.0#groundspeed|0.0heading|353#***      15571***     15591*** 


============= UAV to GCS: Telemetry Packets==============
 Publish MSG : @@@U_001***12***1627597344.62***TELEMETRY#location.global_relative_frame|LocationGlobalRelative:lat=-35.363261,lon=149.1652299,alt=0.0#battery|Battery:voltage=12.587,current=0.0,level=100#velocity|[0.0, 0.0, 0.0]#attitude|Attitude:pitch=0.000813678081613,yaw=-0.121076770127,roll=0.000292849581456#airspeed|0.0#groundspeed|0.0heading|353#***      15652***     15671*** 


============GCS to UAV: Control Commands===========
 Publish MSG : @@@G_000***96***1627597344.91728***COMMAND:HEARTBEAT_MESSAGE***      15785***     15788*** 

============= UAV to GCS: Telemetry Packets==============
 Publish MSG : @@@U_003***12***1627597345.0***TELEMETRY#location.global_relative_frame|LocationGlobalRelative:lat=-35.363261,lon=149.1652299,alt=0.0#velocity|[0.0, 0.0, 0.0]#attitude|Attitude:pitch=0.000677397008985,yaw=-0.121253095567,roll=0.000213628489291#airspeed|0.0#groundspeed|0.0heading|353#***      15785***     15797*** 


============GCS to UAV: Control Commands===========
 Publish MSG : @@@G_001***97***1627597345.001355***COMMAND:HEARTBEAT_MESSAGE***      15849***     15852*** 

============GCS to UAV: Control Commands===========
 Publish MSG : @@@G_002***98***1627597345.196688***COMMAND:HEARTBEAT_MESSAGE***      15850***     15853*** 

============= UAV to GCS: Telemetry Packets==============
 Publish MSG : @@@U_000***11***1627597345.2***TELEMETRY#last_heartbeat|0.251106717973#battery|Battery:voltage=12.587,current=0.0,level=100#***      15849***     15868*** 


============GCS to UAV: Control Commands===========
 Publish MSG : @@@G_003***99***1627597345.212456***COMMAND:HEARTBEAT_MESSAGE***      15974***     15977*** 

============= UAV to GCS: Telemetry Packets==============
 Publish MSG : @@@U_002***13***1627597345.63***TELEMETRY#location.global_relative_frame|LocationGlobalRelative:lat=-35.363261,lon=149.1652299,alt=0.0#battery|Battery:voltage=12.587,current=0.0,level=100#***      15998***     16010*** 


============GCS to UAV: Control Commands===========
 Publish MSG : @@@G_004***100***1627597345.608438***COMMAND:HEARTBEAT_MESSAGE***      16016***     16019*** 

============= UAV to GCS: Telemetry Packets==============
 Publish MSG : @@@U_004***12***1627597345.72***TELEMETRY#location.global_relative_frame|LocationGlobalRelative:lat=-35.363261,lon=149.1652299,alt=0.0#velocity|[0.0, 0.0, 0.0]#attitude|Attitude:pitch=0.000612582021859,yaw=-0.121336311102,roll=0.00017600634601#airspeed|0.0#groundspeed|0.0heading|353#***      16026***     16038*** 


============= UAV to GCS: Telemetry Packets==============
