
============GCS to UAV: Control Commands===========
 Publish MSG : @@@U_000***9***1626158899.28***TELEMETRY#last_heartbeat|0.5447606#***      15435***     15450*** 


============= UAV to GCS: Telemetry Packets==============
 Publish MSG : @@@U_002***9***1626158899.29***TELEMETRY#last_heartbeat|0.5498111#***      15437***     15451*** 


============GCS to UAV: Control Commands===========
 Publish MSG : @@@G_000***5***1626158899.874739***COMMAND:ARM***      15809***     15812*** 

>>>>>> Average Network Delay for command packets: 5.500000 MilliSec.

LteSignalStrength= 0.000851 dBm*** LteSINR= 1794894763967.299316 dBm 


============GCS to UAV: Control Commands===========
 Publish MSG : @@@G_001***6***1626158899.875006***COMMAND:ARM***      15809***     15813*** 

============GCS to UAV: Control Commands===========
 Publish MSG : @@@G_003***8***1626158899.875386***COMMAND:ARM***      15809***     15814*** 

============GCS to UAV: Control Commands===========
 Publish MSG : @@@G_002***7***1626158899.875167***COMMAND:ARM***      15809***     15815*** 

WifiSignalStrength= -74.403909 dBm*** WifiNoise= -93.965985 dBm 

============GCS to UAV: Control Commands===========
 Publish MSG : @@@G_000***9***1626158899.954735***COMMAND:HEARTBEAT_MESSAGE***      15837***     15840*** 

============GCS to UAV: Control Commands===========
 Publish MSG : @@@G_001***10***1626158899.956786***COMMAND:HEARTBEAT_MESSAGE***      15837***     15841*** 

============GCS to UAV: Control Commands===========
 Publish MSG : @@@G_003***12***1626158899.957768***COMMAND:HEARTBEAT_MESSAGE***      15837***     15842*** 

============GCS to UAV: Control Commands===========
 Publish MSG : @@@G_002***11***1626158899.957282***COMMAND:HEARTBEAT_MESSAGE***      15837***     15843*** 

============= UAV to GCS: Telemetry Packets==============
 Publish MSG : @@@U_001***10***1626158900.32***TELEMETRY#last_heartbeat|0.5925701#***      16013***     16035*** 


============= UAV to GCS: Telemetry Packets==============
 Publish MSG : @@@U_000***10***1626158900.32***TELEMETRY#last_heartbeat|0.6169807#***      16015***     16036*** 


============= UAV to GCS: Telemetry Packets==============
 Publish MSG : @@@U_003***10***1626158900.32***TELEMETRY#last_heartbeat|0.5937019#***      16016***     16037*** 


============= UAV to GCS: Telemetry Packets==============
 Publish MSG : @@@U_002***10***1626158900.33***TELEMETRY#last_heartbeat|0.5987166#***      16019***     16038*** 


============GCS to UAV: Control Commands===========
 Publish MSG : @@@G_001***14***1626158900.460584***COMMAND:HEARTBEAT_MESSAGE***      16065***     16070*** 

============GCS to UAV: Control Commands===========
 Publish MSG : @@@G_000***13***1626158900.458879***COMMAND:HEARTBEAT_MESSAGE***      16065***     16071*** 

============GCS to UAV: Control Commands===========
 Publish MSG : @@@G_003***16***1626158900.462138***COMMAND:HEARTBEAT_MESSAGE***      16065***     16072*** 

============GCS to UAV: Control Commands===========
 Publish MSG : @@@G_002***15***1626158900.461148***COMMAND:HEARTBEAT_MESSAGE***      16065***     16073*** 

============GCS to UAV: Control Commands===========
 Publish MSG : @@@G_003***20***1626158900.966009***COMMAND:HEARTBEAT_MESSAGE***      16275***     16278*** 

============GCS to UAV: Control Commands===========
 Publish MSG : @@@G_001***18***1626158900.964256***COMMAND:HEARTBEAT_MESSAGE***      16275***     16279*** 

============GCS to UAV: Control Commands===========
 Publish MSG : @@@G_002***19***1626158900.964687***COMMAND:HEARTBEAT_MESSAGE***      16275***     16280*** 

============GCS to UAV: Control Commands===========
 Publish MSG : @@@G_000***17***1626158900.963307***COMMAND:HEARTBEAT_MESSAGE***      16275***     16281*** 

============= UAV to GCS: Telemetry Packets==============
 Publish MSG : @@@U_001***11***1626158901.32***TELEMETRY#last_heartbeat|0.5980221#***      16426***     16446*** 


============= UAV to GCS: Telemetry Packets==============
 Publish MSG : @@@U_000***11***1626158901.33***TELEMETRY#last_heartbeat|0.6028429#***      16429***     16448*** 


============= UAV to GCS: Telemetry Packets==============
 Publish MSG : @@@U_003***11***1626158901.37***TELEMETRY#last_heartbeat|0.6484926#***      16446***     16466*** 


============= UAV to GCS: Telemetry Packets==============
 Publish MSG : @@@U_002***11***1626158901.38***TELEMETRY#last_heartbeat|0.6511948#***      16448***     16467*** 


============GCS to UAV: Control Commands===========
 Publish MSG : @@@G_003***24***1626158901.469722***COMMAND:HEARTBEAT_MESSAGE***      16483***     16490*** 

============GCS to UAV: Control Commands===========
 Publish MSG : @@@G_001***22***1626158901.467945***COMMAND:HEARTBEAT_MESSAGE***      16483***     16491*** 

============GCS to UAV: Control Commands===========
 Publish MSG : @@@G_002***23***1626158901.468431***COMMAND:HEARTBEAT_MESSAGE***      16483***     16492*** 

============GCS to UAV: Control Commands===========
 Publish MSG : @@@G_000***21***1626158901.466958***COMMAND:HEARTBEAT_MESSAGE***      16483***     16493*** 

============GCS to UAV: Control Commands===========
 Publish MSG : @@@G_000***25***1626158901.970388***COMMAND:HEARTBEAT_MESSAGE***      16687***     16690*** 

============GCS to UAV: Control Commands===========
 Publish MSG : @@@G_003***28***1626158901.97259***COMMAND:HEARTBEAT_MESSAGE***      16687***     16691*** 

============GCS to UAV: Control Commands===========
 Publish MSG : @@@G_001***26***1626158901.971133***COMMAND:HEARTBEAT_MESSAGE***      16687***     16692*** 

============GCS to UAV: Control Commands===========
 Publish MSG : @@@G_002***27***1626158901.971535***COMMAND:HEARTBEAT_MESSAGE***      16687***     16693*** 

============= UAV to GCS: Telemetry Packets==============
 Publish MSG : @@@U_001***12***1626158902.33***TELEMETRY#last_heartbeat|0.6007718#***      16843***     16855*** 

 TELEMETRY Recvd: @@@U_001***1***1626158892.06***TELEMETRY#last_heartbeat|0.1494762#*** 

 TELEMETRY Recvd: @@@U_003***1***1626158892.06***TELEMETRY#last_heartbeat|0.1494612#*** 

 TELEMETRY Recvd: @@@U_000***1***1626158892.07***TELEMETRY#last_heartbeat|0.1506996#*** 

 TELEMETRY Recvd: @@@U_002***1***1626158892.07***TELEMETRY#last_heartbeat|0.1501439#*** 

 TELEMETRY Recvd: @@@U_001***2***1626158893.08***TELEMETRY#last_heartbeat|0.1959059#*** 

 TELEMETRY Recvd: @@@U_003***2***1626158893.08***TELEMETRY#last_heartbeat|0.1945907#*** 

 TELEMETRY Recvd: @@@U_000***2***1626158893.09***TELEMETRY#last_heartbeat|0.1952275#*** 

 TELEMETRY Recvd: @@@U_002***2***1626158893.09***TELEMETRY#last_heartbeat|0.1949025#*** 

 TELEMETRY Recvd: @@@U_001***3***1626158894.04***STATUS#CONNECT|True*** 

 TELEMETRY Recvd: @@@U_003***3***1626158894.05***STATUS#CONNECT|True*** 

 TELEMETRY Recvd: @@@U_000***3***1626158894.05***STATUS#CONNECT|True*** 

 TELEMETRY Recvd: @@@U_002***3***1626158894.05***STATUS#CONNECT|True*** 

 TELEMETRY Recvd: @@@U_001***4***1626158894.1***TELEMETRY#last_heartbeat|0.2459635#*** 

 TELEMETRY Recvd: @@@U_003***4***1626158894.1***TELEMETRY#last_heartbeat|0.2452171#*** 

 TELEMETRY Recvd: @@@U_000***4***1626158894.11***TELEMETRY#last_heartbeat|0.2454616#*** 

 TELEMETRY Recvd: @@@U_002***4***1626158894.11***TELEMETRY#last_heartbeat|0.2453116#*** 

 TELEMETRY Recvd: @@@U_001***5***1626158895.12***TELEMETRY#last_heartbeat|0.2941515#*** 

 TELEMETRY Recvd: @@@U_003***5***1626158895.13***TELEMETRY#last_heartbeat|0.2944936#*** 

 TELEMETRY Recvd: @@@U_000***5***1626158895.13***TELEMETRY#last_heartbeat|0.2950617#*** 

 TELEMETRY Recvd: @@@U_002***5***1626158895.13***TELEMETRY#last_heartbeat|0.2943551#*** 

 TELEMETRY Recvd: @@@U_001***6***1626158896.16***TELEMETRY#last_heartbeat|0.3471492#*** 

 TELEMETRY Recvd: @@@U_003***6***1626158896.16***TELEMETRY#last_heartbeat|0.3486997#*** 

 TELEMETRY Recvd: @@@U_000***6***1626158896.16***TELEMETRY#last_heartbeat|0.3471631#*** 

 TELEMETRY Recvd: @@@U_002***6***1626158896.17***TELEMETRY#last_heartbeat|0.3477206#*** 

 TELEMETRY Recvd: @@@U_001***7***1626158897.2***TELEMETRY#last_heartbeat|1.3904947#*** 

 TELEMETRY Recvd: @@@U_003***7***1626158897.2***TELEMETRY#last_heartbeat|1.3900368#*** 

 TELEMETRY Recvd: @@@U_000***7***1626158897.21***TELEMETRY#last_heartbeat|1.3907481#*** 

 TELEMETRY Recvd: @@@U_002***7***1626158897.21***TELEMETRY#last_heartbeat|1.3905389#*** 

 TELEMETRY Recvd: @@@U_001***8***1626158898.23***TELEMETRY#last_heartbeat|2.4223371#*** 

 TELEMETRY Recvd: @@@U_003***8***1626158898.24***TELEMETRY#last_heartbeat|2.4212274#*** 

 TELEMETRY Recvd: @@@U_000***8***1626158898.24***TELEMETRY#last_heartbeat|2.4210071#*** 

 TELEMETRY Recvd: @@@U_002***8***1626158898.25***TELEMETRY#last_heartbeat|2.4209645#*** 

 TELEMETRY Recvd: @@@U_001***9***1626158899.27***TELEMETRY#last_heartbeat|0.5488615#*** 

 TELEMETRY Recvd: @@@U_003***9***1626158899.28***TELEMETRY#last_heartbeat|0.5701347#*** 

 TELEMETRY Recvd: @@@U_000***9***1626158899.28***TELEMETRY#last_heartbeat|0.5447606#*** 

 TELEMETRY Recvd: @@@U_002***9***1626158899.29***TELEMETRY#last_heartbeat|0.5498111#*** 

 TELEMETRY Recvd: @@@U_001***10***1626158900.32***TELEMETRY#last_heartbeat|0.5925701#*** 

 TELEMETRY Recvd: @@@U_000***10***1626158900.32***TELEMETRY#last_heartbeat|0.6169807#*** 

 TELEMETRY Recvd: @@@U_003***10***1626158900.32***TELEMETRY#last_heartbeat|0.5937019#*** 

 TELEMETRY Recvd: @@@U_002***10***1626158900.33***TELEMETRY#last_heartbeat|0.5987166#*** 

 TELEMETRY Recvd: @@@U_001***11***1626158901.32***TELEMETRY#last_heartbeat|0.5980221#*** 

 TELEMETRY Recvd: @@@U_000***11***1626158901.33***TELEMETRY#last_heartbeat|0.6028429#*** 

 TELEMETRY Recvd: @@@U_003***11***1626158901.37***TELEMETRY#last_heartbeat|0.6484926#*** 

 TELEMETRY Recvd: @@@U_002***11***1626158901.38***TELEMETRY#last_heartbeat|0.6511948#*** 

 TELEMETRY Recvd: @@@U_001***12***1626158902.33***TELEMETRY#last_heartbeat|0.6007718#*** 

 TELEMETRY Recvd: @@@U_000***12***1626158902.37***TELEMETRY#last_heartbeat|0.6471371#*** 

 TELEMETRY Rec
============= UAV to GCS: Telemetry Packets==============
 Publish MSG : @@@U_000***12***1626158902.37***TELEMETRY#last_heartbeat|0.6471371#***      16859***     16878*** 


============= UAV to GCS: Telemetry Packets==============
 Publish MSG : @@@U_003***12***1626158902.38***TELEMETRY#last_heartbeat|0.6518829#***      16863***     16882*** 


============= UAV to GCS: Telemetry Packets==============
 Publish MSG : @@@U_002***12***1626158902.43***TELEMETRY#last_heartbeat|0.7029984#***      16876***     16890*** 


============GCS to UAV: Control Commands===========
 Publish MSG : @@@G_002***31***1626158902.474558***COMMAND:HEARTBEAT_MESSAGE***      16887***     16890*** 

>>>>>> Average Network Delay for command packets: 6.500000 MilliSec.

LteSignalStrength= 0.000432 dBm*** LteSINR= 910864376540.044434 dBm 


============GCS to UAV: Control Commands===========
 Publish MSG : @@@G_001***30***1626158902.474037***COMMAND:HEARTBEAT_MESSAGE***      16887***     16892*** 

============GCS to UAV: Control Commands===========
 Publish MSG : @@@G_003***32***1626158902.47537***COMMAND:HEARTBEAT_MESSAGE***      16887***     16895*** 

============GCS to UAV: Control Commands===========
 Publish MSG : @@@G_000***29***1626158902.473563***COMMAND:HEARTBEAT_MESSAGE***      16887***     16896*** 

WifiSignalStrength= -74.403909 dBm*** WifiNoise= -93.965985 dBm 

============GCS to UAV: Control Commands===========
 Publish MSG : @@@G_003***36***1626158902.981247***COMMAND:HEARTBEAT_MESSAGE***      17039***     17042*** 

============GCS to UAV: Control Commands===========
 Publish MSG : @@@G_000***33***1626158902.976615***COMMAND:HEARTBEAT_MESSAGE***      17039***     17043*** 

============GCS to UAV: Control Commands===========
 Publish MSG : @@@G_002***35***1626158902.977924***COMMAND:HEARTBEAT_MESSAGE***      17039***     17044*** 

============GCS to UAV: Control Commands===========
 Publish MSG : @@@G_001***34***1626158902.977142***COMMAND:HEARTBEAT_MESSAGE***      17039***     17045*** 

============= UAV to GCS: Telemetry Packets==============
 Publish MSG : @@@U_001***13***1626158903.36***TELEMETRY#last_heartbeat|0.6418409#***      17183***     17202*** 


============= UAV to GCS: Telemetry Packets==============
 Publish MSG : @@@U_000***13***1626158903.37***TELEMETRY#last_heartbeat|0.6454623#***      17189***     17208*** 


============= UAV to GCS: Telemetry Packets==============
 Publish MSG : @@@U_003***13***1626158903.42***TELEMETRY#last_heartbeat|0.6878036#***      17203***     17216*** 


============GCS to UAV: Control Commands===========
 Publish MSG : @@@G_002***39***1626158903.483697***COMMAND:HEARTBEAT_MESSAGE***      17226***     17229*** 

============GCS to UAV: Control Commands===========
 Publish MSG : @@@G_000***37***1626158903.482437***COMMAND:HEARTBEAT_MESSAGE***      17226***     17233*** 

============GCS to UAV: Control Commands===========
 Publish MSG : @@@G_003***40***1626158903.484869***COMMAND:HEARTBEAT_MESSAGE***      17226***     17236*** 

============GCS to UAV: Control Commands===========
 Publish MSG : @@@G_001***38***1626158903.483276***COMMAND:HEARTBEAT_MESSAGE***      17226***     17237*** 

============= UAV to GCS: Telemetry Packets==============
 Publish MSG : @@@U_002***13***1626158903.47***TELEMETRY#last_heartbeat|0.7416807#***      17219***     17240*** 


============GCS to UAV: Control Commands===========
 Publish MSG : @@@G_000***41***1626158903.986112***COMMAND:HEARTBEAT_MESSAGE***      17442***     17445*** 

============GCS to UAV: Control Commands===========
 Publish MSG : @@@G_003***44***1626158903.988227***COMMAND:HEARTBEAT_MESSAGE***      17442***     17446*** 

============GCS to UAV: Control Commands===========
 Publish MSG : @@@G_001***42***1626158903.986636***COMMAND:HEARTBEAT_MESSAGE***      17442***     17447*** 

============GCS to UAV: Control Commands===========
 Publish MSG : @@@G_002***43***1626158903.987011***COMMAND:HEARTBEAT_MESSAGE***      17442***     17448*** 

============= UAV to GCS: Telemetry Packets==============
 Publish MSG : @@@U_001***14***1626158904.38***TELEMETRY#last_heartbeat|0.6341208#battery|Battery:voltage=12.587,current=0.0,level=100#***      17601***     17613*** 


============= UAV to GCS: Telemetry Packets==============
 Publish MSG : @@@U_000***14***1626158904.4***TELEMETRY#last_heartbeat|0.6337365#battery|Battery:voltage=12.587,current=0.0,level=100#***      17609***     17628*** 


============= UAV to GCS: Telemetry Packets==============
 Publish MSG : @@@U_003***14***1626158904.42***TELEMETRY#location.global_relative_frame|LocationGlobalRelative:lat=-35.363261,lon=149.1652299,alt=0.0#last_heartbeat|0.6339876#battery|Battery:voltage=12.587,current=0.0,level=100#velocity|[0.0, 0.0, 0.0]#***      17615***     17634*** 


============GCS to UAV: Control Commands===========
 Publish MSG : @@@G_002***47***1626158904.491998***COMMAND:HEARTBEAT_MESSAGE***      17637***     17640*** 

============GCS to UAV: Control Commands===========
 Publish MSG : @@@G_001***46***1626158904.49168***COMMAND:HEARTBEAT_MESSAGE***      17637***     17641*** 

============GCS to UAV: Control Commands===========
 Publish MSG : @@@G_000***45***1626158904.490915***COMMAND:HEARTBEAT_MESSAGE***      17637***     17644*** 

============= UAV to GCS: Telemetry Packets==============
 Publish MSG : @@@U_002***14***1626158904.5***TELEMETRY#location.global_relative_frame|LocationGlobalRelative:lat=-35.363261,lon=149.1652299,alt=0.0#last_heartbeat|0.7872216#battery|Battery:voltage=12.587,current=0.0,level=100#velocity|[0.0, 0.0, 0.0]#attitude|Attitude:pitch=0.000799908593763,yaw=-0.121094472706,roll=0.000284849375021#airspeed|0.0#groundspeed|0.0heading|353#***      17637***     17650*** 


============GCS to UAV: Control Commands===========
 Publish MSG : @@@G_003***48***1626158904.492764***COMMAND:HEARTBEAT_MESSAGE***      17637***     17660*** 

============GCS to UAV: Control Commands===========
 Publish MSG : @@@G_000***49***1626158904.994779***COMMAND:HEARTBEAT_MESSAGE***      17825***     17828*** 

============GCS to UAV: Control Commands===========
 Publish MSG : @@@G_002***51***1626158905.001081***COMMAND:HEARTBEAT_MESSAGE***      17826***     17829*** 

============GCS to UAV: Control Commands===========
 Publish MSG : @@@G_003***52***1626158905.002841***COMMAND:HEARTBEAT_MESSAGE***      17826***     17830*** 

============GCS to UAV: Control Commands===========
 Publish MSG : @@@G_001***50***1626158904.996258***COMMAND:HEARTBEAT_MESSAGE***      17826***     17831*** 

============= UAV to GCS: Telemetry Packets==============
 Publish MSG : @@@U_001***15***1626158905.43***TELEMETRY#location.global_relative_frame|LocationGlobalRelative:lat=-35.363261,lon=149.1652299,alt=0.0#last_heartbeat|0.7575309#battery|Battery:voltage=12.587,current=0.0,level=100#velocity|[0.0, 0.0, 0.0]#attitude|Attitude:pitch=0.000755155284423,yaw=-0.120870165527,roll=0.000202601630008#airspeed|0.0#groundspeed|0.0heading|353#***      17947***     17967*** 


============= UAV to GCS: Telemetry Packets==============
 Publish MSG : @@@U_000***15***1626158905.43***TELEMETRY#location.global_relative_frame|LocationGlobalRelative:lat=-35.363261,lon=149.1652299,alt=0.0#last_heartbeat|0.7517831#battery|Battery:voltage=12.587,current=0.0,level=100#velocity|[-0.01, 0.0, 0.0]#attitude|Attitude:pitch=0.000808735261671,yaw=-0.120779082179,roll=0.000227835669648#airspeed|0.0#groundspeed|0.0heading|353#***      17949***     17969*** 


============= UAV to GCS: Telemetry Packets==============
 Publish MSG : @@@U_003***15***1626158905.43***TELEMETRY#location.global_relative_frame|LocationGlobalRelative:lat=-35.363261,lon=149.1652299,alt=0.0#last_heartbeat|0.7494789#battery|Battery:voltage=12.587,current=0.0,level=100#velocity|[0.0, 0.0, 0.0]#attitude|Attitude:pitch=0.000644129235297,yaw=-0.121059305966,roll=0.000150770472828#airspeed|0.0#groundspeed|0.0heading|353#***      17949***     17969*** 


============GCS to UAV: Control Commands===========
 Publish MSG : @@@G_002***55***1626158905.504584***COMMAND:HEARTBEAT_MESSAGE***      17973***     17976*** 

>>>>>> Average Network Delay for command packets: 7.000000 MilliSec.

LteSignalStrength= 0.003932 dBm*** LteSINR= 8290111676906.291016 dBm 


WifiSignalStrength= -74.403909 dBm*** WifiNoise= -93.965985 dBm 

============GCS to UAV: Control Commands===========
 Publish MSG : @@@G_000***53***1626158905.504003***COMMAND:HEARTBEAT_MESSAGE***      17973***     17980*** 

============GCS to UAV: Control Commands===========
 Publish MSG : @@@G_003***56***1626158905.504712***COMMAND:HEARTBEAT_MESSAGE***      17973***     17981*** 

============GCS to UAV: Control Commands===========
 Publish MSG : @@@G_001***54***1626158905.504424***COMMAND:HEARTBEAT_MESSAGE***      17973***     17982*** 

============= UAV to GCS: Telemetry Packets==============
 Publish MSG : @@@U_002***15***1626158905.52***TELEMETRY#location.global_relative_frame|LocationGlobalRelative:lat=-35.363261,lon=149.1652299,alt=0.0#last_heartbeat|0.8426944#battery|Battery:voltage=12.587,current=0.0,level=100#velocity|[0.0, 0.0, 0.0]#attitude|Attitude:pitch=0.000699436466675,yaw=-0.120964661241,roll=0.000176448724233#airspeed|0.0#groundspeed|0.0heading|353#***      17976***     17996*** 


============GCS to UAV: Control Commands===========
 Publish MSG : @@@G_002***59***1626158906.006743***COMMAND:HEARTBEAT_MESSAGE***      18171***     18174*** 

============GCS to UAV: Control Commands===========
 Publish MSG : @@@G_003***60***1626158906.007031***COMMAND:HEARTBEAT_MESSAGE***      18171***     18175*** 

============GCS to UAV: Control Commands===========
 Publish MSG : @@@G_000***57***1626158906.005519***COMMAND:HEARTBEAT_MESSAGE***      18171***     18176*** 

============GCS to UAV: Control Commands===========
 Publish MSG : @@@G_001***58***1626158906.006262***COMMAND:HEARTBEAT_MESSAGE***      18171***     18177*** 
vd: @@@U_003***12***1626158902.38***TELEMETRY#last_heartbeat|0.6518829#*** 

 TELEMETRY Recvd: @@@U_002***12***1626158902.43***TELEMETRY#last_heartbeat|0.7029984#*** 

 TELEMETRY Recvd: @@@U_001***13***1626158903.36***TELEMETRY#last_heartbeat|0.6418409#*** 

 TELEMETRY Recvd: @@@U_000***13***1626158903.37***TELEMETRY#last_heartbeat|0.6454623#*** 

 TELEMETRY Recvd: @@@U_003***13***1626158903.42***TELEMETRY#last_heartbeat|0.6878036#*** 

 TELEMETRY Recvd: @@@U_002***13***1626158903.47***TELEMETRY#last_heartbeat|0.7416807#*** 

 TELEMETRY Recvd: @@@U_001***14***1626158904.38***TELEMETRY#last_heartbeat|0.6341208#battery|Battery:voltage=12.587,current=0.0,level=100#*** 

 TELEMETRY Recvd: @@@U_000***14***1626158904.4***TELEMETRY#last_heartbeat|0.6337365#battery|Battery:voltage=12.587,current=0.0,level=100#*** 

 TELEMETRY Recvd: @@@U_003***14***1626158904.42***TELEMETRY#location.global_relative_frame|LocationGlobalRelative:lat=-35.363261,lon=149.1652299,alt=0.0#last_heartbeat|0.6339876#battery|Battery:voltage=12.587,current=0.0,level=100#velocity|[0.0, 0.0, 0.0]#*** 

